No.;Time;;TIME 1;TIME 2;DELAY;DELAY 1;DELAY 2;JITTER
1;0;;0;0,180924;0,180924;0,176272;0,004652;-0,17162
2;0,180924;;0,180924;0,185576;0,004652;0,004652;-0,000315;-0,004967
3;0,185576;;0,185576;0,185576;0;-0,000315;-0,010848;-0,010533
4;0,185576;;0,185576;0,185891;0,000315;-0,010848;0,002634;0,013482
5;0,185891;;0,185891;0,197054;0,011163;0,002634;0,007235;0,004601
6;0,197054;;0,197054;0,205583;0,008529;0,007235;0,000843;-0,006392
7;0,205583;;0,205583;0,206877;0,001294;0,000843;5,90E-05;-0,000784
8;0,206877;;0,206877;0,207328;0,000451;5,90E-05;-0,037601;-0,03766
9;0,207328;;0,207328;0,20772;0,000392;-0,037601;-0,016053;0,021548
10;0,20772;;0,20772;0,245713;0,037993;-0,016053;0,044223;0,060276
11;0,245713;;0,245713;0,299759;0,054046;0,044223;0,009823;-0,0344
12;0,299759;;0,299759;0,309582;0,009823;0,009823;0;-0,009823
13;0,309582;;0,309582;0,309582;0;0;-0,000328;-0,000328
14;0,309582;;0,309582;0,309582;0;-0,000328;0,000209;0,000537
15;0,309582;;0,309582;0,30991;0,000328;0,000209;-0,001145;-0,001354
16;0,30991;;0,30991;0,310029;0,000119;-0,001145;-0,001275;-0,00013
17;0,310029;;0,310029;0,311293;0,001264;-0,001275;0,002539;0,003814
18;0,311293;;0,311293;0,313832;0,002539;0,002539;0;-0,002539
19;0,313832;;0,313832;0,313832;0;0;0;0
20;0,313832;;0,313832;0,313832;0;0;-0,000201;-0,000201
21;0,313832;;0,313832;0,313832;0;-0,000201;5,80E-05;0,000259
22;0,313832;;0,313832;0,314033;0,000201;5,80E-05;1,10E-05;-4,70E-05
23;0,314033;;0,314033;0,314176;0,000143;1,10E-05;-0,003612;-0,003623
24;0,314176;;0,314176;0,314308;0,000132;-0,003612;0,003744;0,007356
25;0,314308;;0,314308;0,318052;0,003744;0,003744;-0,000555;-0,004299
26;0,318052;;0,318052;0,318052;0;-0,000555;-0,009967;-0,009412
27;0,318052;;0,318052;0,318607;0,000555;-0,009967;-0,00063;0,009337
28;0,318607;;0,318607;0,329129;0,010522;-0,00063;-0,01648;-0,01585
29;0,329129;;0,329129;0,340281;0,011152;-0,01648;0,02004;0,03652
30;0,340281;;0,340281;0,367913;0,027632;0,02004;-0,014481;-0,034521
31;0,367913;;0,367913;0,375505;0,007592;-0,014481;-0,105282;-0,090801
32;0,375505;;0,375505;0,397578;0,022073;-0,105282;0,127355;0,232637
